"";"Taxa";"matched_name2";"confidence";"canonicalName";"kingdom";"phylum";"class";"order";"family";"genus";"species";"rank"
"395";"polytrichum formosum hedw.";"Polytrichum formosum";99;"Polytrichum formosum";"Plantae";"Bryophyta";"Polytrichopsida";"Polytrichales";"Polytrichaceae";"Polytrichum";"Polytrichum formosum";"SPECIES"
"396";"potentilla heptaphylla l.";"Potentilla heptaphylla";97;"Potentilla heptaphylla";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Potentilla";"Potentilla heptaphylla";"SPECIES"
"397";"potentilla indica (andrews) th.wolf";"Potentilla indica";99;"Potentilla indica";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Potentilla";"Potentilla indica";"SPECIES"
"398";"pseudotsuga menziesii (mirb.) franco";"Pseudotsuga menziesii";99;"Pseudotsuga menziesii";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Pinaceae";"Pseudotsuga";"Pseudotsuga menziesii";"SPECIES"
"399";"pulmonaria obscura dumort.";"Pulmonaria obscura";97;"Pulmonaria obscura";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Pulmonaria";"Pulmonaria obscura";"SPECIES"
"400";"pulmonaria officinalis l.";"Pulmonaria officinalis";97;"Pulmonaria officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Boraginales";"Boraginaceae";"Pulmonaria";"Pulmonaria officinalis";"SPECIES"
"401";"radula complanata (l.) dumort.";"Radula complanata";99;"Radula complanata";"Plantae";"Marchantiophyta";"Jungermanniopsida";"Porellales";"Radulaceae";"Radula";"Radula complanata";"SPECIES"
"402";"ranunculus aquatilis var. aquatilis";"Ranunculus aquatilis aquatilis";97;"Ranunculus aquatilis aquatilis";"Plantae";"Tracheophyta";"Magnoliopsida";"Ranunculales";"Ranunculaceae";"Ranunculus";"Ranunculus aquatilis";"VARIETY"
"403";"raphanus raphanistrum l.";"Raphanus raphanistrum";98;"Raphanus raphanistrum";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Raphanus";"Raphanus raphanistrum";"SPECIES"
"404";"rhamnus cathartica l.";"Rhamnus cathartica";98;"Rhamnus cathartica";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rhamnaceae";"Rhamnus";"Rhamnus cathartica";"SPECIES"
"405";"ricciocarpos natans (l.) corda";"Ricciocarpos natans";99;"Ricciocarpos natans";"Plantae";"Marchantiophyta";"Marchantiopsida";"Marchantiales";"Ricciaceae";"Ricciocarpos";"Ricciocarpos natans";"SPECIES"
"406";"rorippa amphibia (l.) besser";"Rorippa amphibia";99;"Rorippa amphibia";"Plantae";"Tracheophyta";"Magnoliopsida";"Brassicales";"Brassicaceae";"Rorippa";"Rorippa amphibia";"SPECIES"
"407";"rosa canina subsp. canina";"Rosa canina canina";97;"Rosa canina canina";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rosa";"Rosa canina";"VARIETY"
"408";"rosa multiflora thunb.";"Rosa multiflora";97;"Rosa multiflora";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rosa";"Rosa multiflora";"SPECIES"
"409";"rosa rugosa thunb.";"Rosa rugosa";97;"Rosa rugosa";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rosa";"Rosa rugosa";"SPECIES"
"410";"rubus laciniatus willd.";"Rubus laciniatus";97;"Rubus laciniatus";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Rubus";"Rubus laciniatus";"SPECIES"
"411";"rumex acetosella subsp. acetosella";"Rumex acetosella acetosella";97;"Rumex acetosella acetosella";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Polygonaceae";"Rumex";"Rumex acetosella";"SUBSPECIES"
"412";"salix caprea l.";"Salix caprea";97;"Salix caprea";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Salicaceae";"Salix";"Salix caprea";"SPECIES"
"413";"sanguisorba minor scop.";"Sanguisorba minor";97;"Sanguisorba minor";"Plantae";"Tracheophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Poterium";"Poterium sanguisorba";"SPECIES"
"414";"schoenoplectus lacustris (l.) palla";"Schoenoplectus lacustris";99;"Schoenoplectus lacustris";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Schoenoplectus";"Schoenoplectus lacustris";"SPECIES"
"415";"schoenoplectus tabernaemontani (c.c.gmel.) palla";"Schoenoplectus tabernaemontani";99;"Schoenoplectus tabernaemontani";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Schoenoplectus";"Schoenoplectus tabernaemontani";"SPECIES"
"416";"sciuro-hypnum plumosum (hedw.) ignatov & huttunen";"Sciuro-hypnum plumosum";97;"Sciuro-hypnum plumosum";"Plantae";"Bryophyta";"Bryopsida";"Hypnales";"Brachytheciaceae";"Sciuro-hypnum";"Sciuro-hypnum plumosum";"SPECIES"
"417";"sherardia arvensis l.";"Sherardia arvensis";99;"Sherardia arvensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Sherardia";"Sherardia arvensis";"SPECIES"
"418";"silene vulgaris (moench) garcke";"Silene vulgaris";99;"Silene vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Silene";"Silene vulgaris";"SPECIES"
"419";"solanum nigrum l.";"Solanum nigrum";97;"Solanum nigrum";"Plantae";"Tracheophyta";"Magnoliopsida";"Solanales";"Solanaceae";"Solanum";"Solanum nigrum";"SPECIES"
"420";"solidago virgaurea l.";"Solidago virgaurea";98;"Solidago virgaurea";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Solidago";"Solidago virgaurea";"SPECIES"
"421";"sonchus asper (l.) hill";"Sonchus asper";97;"Sonchus asper";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Sonchus";"Sonchus asper";"SPECIES"
"422";"spirodela polyrhiza (l.) schleid.";"Spirodela polyrhiza";99;"Spirodela polyrhiza";"Plantae";"Tracheophyta";"Liliopsida";"Alismatales";"Araceae";"Spirodela";"Spirodela polyrhiza";"SPECIES"
"423";"stellaria media (l.) vill.";"Stellaria media";97;"Stellaria media";"Plantae";"Tracheophyta";"Magnoliopsida";"Caryophyllales";"Caryophyllaceae";"Stellaria";"Stellaria media";"SPECIES"
"424";"symphoricarpos albus (l.) k.koch";"Symphoricarpos albus";97;"Symphoricarpos albus";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Symphoricarpos";"Symphoricarpos albus";"SPECIES"
"425";"syntrichia latifolia (bruch ex hartm.) huebener";"Syntrichia latifolia";99;"Syntrichia latifolia";"Plantae";"Bryophyta";"Bryopsida";"Pottiales";"Pottiaceae";"Syntrichia";"Syntrichia latifolia";"SPECIES"
"426";"syringa vulgaris l.";"Syringa vulgaris";99;"Syringa vulgaris";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Oleaceae";"Syringa";"Syringa vulgaris";"SPECIES"
"427";"taraxacum acutifrons markl.";"Taraxacum acutifrons";99;"Taraxacum acutifrons";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Taraxacum";"Taraxacum acutifrons";"SPECIES"
"428";"taraxacum officinale weber ex f.h.wigg.";"Taraxacum officinale";98;"Taraxacum officinale";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Taraxacum";"Taraxacum officinale";"SPECIES"
"429";"taraxacum pronilobum h.øllg.";"Taraxacum pronilobum";99;"Taraxacum pronilobum";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Taraxacum";"Taraxacum pronilobum";"SPECIES"
"430";"taxus baccata l.";"Taxus baccata";97;"Taxus baccata";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Taxaceae";"Taxus";"Taxus baccata";"SPECIES"
"431";"thuja plicata donn ex d.don";"Thuja plicata";98;"Thuja plicata";"Plantae";"Tracheophyta";"Pinopsida";"Pinales";"Cupressaceae";"Thuja";"Thuja plicata";"SPECIES"
"432";"trifolium arvense l.";"Trifolium arvense";97;"Trifolium arvense";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium";"Trifolium arvense";"SPECIES"
"433";"trifolium striatum l.";"Trifolium striatum";99;"Trifolium striatum";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Trifolium";"Trifolium striatum";"SPECIES"
"434";"tripleurospermum inodorum (l.) sch.-bip";"Tripleurospermum inodorum";99;"Tripleurospermum inodorum";"Plantae";"Tracheophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Tripleurospermum";"Tripleurospermum inodorum";"SPECIES"
"435";"valeriana officinalis l.";"Valeriana officinalis";99;"Valeriana officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Valeriana";"Valeriana officinalis";"SPECIES"
"436";"valeriana officinalis subsp. sambucifolia (j.c.mikan ex pohl) wirtg.";"Valeriana officinalis sambucifolia";97;"Valeriana officinalis sambucifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Valeriana";"Valeriana excelsa";"SUBSPECIES"
"437";"veronica anagallis-aquatica l.";"Veronica anagallis-aquatica";99;"Veronica anagallis-aquatica";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica";"Veronica anagallis-aquatica";"SPECIES"
"438";"veronica arvensis l.";"Veronica arvensis";98;"Veronica arvensis";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica";"Veronica arvensis";"SPECIES"
"439";"veronica officinalis l.";"Veronica officinalis";99;"Veronica officinalis";"Plantae";"Tracheophyta";"Magnoliopsida";"Lamiales";"Plantaginaceae";"Veronica";"Veronica officinalis";"SPECIES"
"440";"vicia sativa subsp. nigra ehrh.";"Vicia sativa nigra";97;"Vicia sativa nigra";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Vicia";"Vicia sativa";"SUBSPECIES"
"441";"vicia tenuifolia roth";"Vicia tenuifolia";97;"Vicia tenuifolia";"Plantae";"Tracheophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Vicia";"Vicia tenuifolia";"SPECIES"
"442";"viola odorata l.";"Viola odorata";97;"Viola odorata";"Plantae";"Tracheophyta";"Magnoliopsida";"Malpighiales";"Violaceae";"Viola";"Viola odorata";"SPECIES"
